Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,2,1,48,238,26,8759,1,0,10613000
1,1,2,0,22,157,25,8040,0,0,10613000
1,1,2,1,31,193,25,7775,0,0,10471000
1,1,2,1,9,128,24,7765,0,0,10471000
1,1,0,1,78,365,29,8025,0,0,10400000
1,1,2,1,11,229,27,7500,0,0,10372000
1,1,2,1,36,345,31,7750,0,0,10372000
1,1,2,1,9,197,28,7785,0,0,10372000
1,1,2,1,13,302,28,7060,0,0,10309000
1,1,2,1,3,261,26,7964,0,0,10309000
1,1,1,1,122,422,31,7300,0,0,10309000
1,1,1,1,59,353,29,7100,1,0,10309000
1,1,2,1,91,287,30,7400,1,0,10260000
1,1,2,1,17,151,24,7772,0,0,10190000
1,1,2,1,38,206,28,7890,0,0,10006000
1,1,2,1,27,230,27,7457,0,0,10006000
1,1,2,1,43,278,27,9153,1,0,10006000
1,1,2,1,95,343,29,7847,1,0,10006000
0,1,2,1,65,466,35,6985,1,0,10000000
1,1,2,1,28,163,28,7500,0,0,9973000
0,1,2,0,0,245,29,7500,0,0,9973000
1,1,1,1,57,313,27,7130,1,0,9973000
0,1,2,1,2,124,24,7288,1,0,9973000
0,1,1,0,54,272,32,7531,1,0,9973000
1,1,0,0,64,364,29,8050,0,0,9703000
1,1,2,1,11,141,21,7020,1,0,9703000
1,1,2,1,8,170,25,8288,0,0,9703000
1,1,0,0,43,317,30,7783,1,0,9703000
1,1,2,1,88,299,29,7500,1,0,9615000
1,1,2,1,21,180,24,7943,1,0,9500000
0,1,1,0,74,346,32,6750,0,0,9478000
0,1,1,1,18,257,28,6800,0,0,9478000
1,1,2,1,64,423,30,7734,1,0,9455000
1,1,2,1,37,187,26,8505,1,0,9387000
1,1,2,1,9,362,32,7300,0,0,9274000
1,1,2,1,30,160,25,8300,1,0,9260000
1,1,2,0,3,153,26,7758,0,0,9260000
1,1,2,1,42,200,25,7789,0,0,9260000
1,1,2,1,45,257,26,8149,0,0,9260000
1,1,1,1,66,347,32,8377,0,0,9100000
1,1,0,1,69,465,34,7548,1,0,9100000
1,1,1,0,11,68,22,7308,1,0,9097000
1,1,2,0,16,116,23,7083,1,0,9097000
1,1,2,0,17,179,24,8022,0,0,9097000
1,1,2,1,60,339,26,7350,0,0,9097000
1,1,2,0,54,367,29,7515,0,0,9097000
1,1,2,1,19,410,32,7250,0,0,8975000
1,1,2,1,12,115,20,8221,0,0,8975000
1,1,0,1,8,343,29,7999,0,0,8975000
1,1,2,1,37,291,28,7819,1,0,8970000
1,1,2,1,19,171,24,8156,0,0,8923000
1,1,2,0,4,213,25,7838,0,0,8897000
0,1,2,1,0,257,29,6750,0,0,8603000
1,1,2,1,5,256,28,7063,0,0,8580000
1,1,2,1,66,327,29,7790,0,0,8580000
1,1,2,1,19,195,26,6737,1,0,8490000
1,1,1,1,30,145,23,8048,1,0,8490000
1,1,0,0,32,86,21,8122,0,0,8490000
1,1,1,0,16,134,24,7919,1,0,8490000
1,1,2,1,32,258,26,7793,0,0,8490000
1,1,1,1,76,461,34,7780,1,0,8477000
1,1,1,1,26,206,26,7450,0,0,8477000
1,1,0,1,17,309,29,7000,1,0,8477000
0,0,2,1,11,239,30,6900,1,0,8377000
1,1,1,0,53,154,26,7760,1,0,8360000
1,1,2,1,38,365,29,7785,1,0,8330000
1,1,2,1,10,137,20,8661,0,0,8277000
1,1,2,1,63,348,31,7250,1,0,8187000
0,1,0,1,55,370,30,6750,0,0,8165000
0,1,2,1,12,299,30,6808,1,0,8141000
1,1,2,1,14,186,23,7867,0,0,8035000
1,1,2,1,14,156,22,8425,0,0,8014000
1,1,2,1,24,389,33,7430,0,0,8014000
1,1,2,1,16,233,28,7590,1,0,8000000
1,1,0,0,41,190,22,7827,0,0,7978000
1,1,1,1,41,309,29,7320,1,0,7978000
0,1,2,1,131,613,39,6432,0,0,7978000
1,1,1,1,23,170,25,7464,1,0,7978000
1,1,2,1,46,303,30,7214,0,0,7884000
1,1,2,0,22,108,23,7704,0,0,7884000
1,1,2,1,11,132,25,7599,0,0,7884000
1,1,2,0,25,133,23,8462,0,0,7884000
1,1,2,1,42,184,26,7585,0,0,7884000
1,1,2,1,1,135,23,7665,0,0,7884000
1,1,1,1,51,231,28,7685,1,0,7884000
1,1,1,0,96,378,33,7057,1,0,7884000
1,1,2,1,19,405,33,7293,1,0,7779000
1,1,1,1,34,385,31,8674,0,0,7779000
1,1,2,1,17,210,25,7944,1,0,7729000
1,1,2,1,10,214,26,8043,0,0,7690000
1,1,2,1,49,218,27,7999,1,0,7592000
0,0,1,1,114,401,31,6970,0,0,7590000
1,1,2,0,30,185,31,7956,1,0,7580000
1,1,2,0,3,330,31,6740,0,0,7580000
1,1,2,1,21,76,19,7823,0,0,7500000
1,1,1,1,12,172,24,8556,0,0,7500000
0,0,2,1,8,316,30,7967,1,0,7500000
1,1,0,1,72,360,34,6850,0,0,7479000
1,1,1,1,71,395,29,7518,1,0,7479000
1,1,0,1,35,201,27,7250,1,0,7479000
1,1,2,1,56,413,33,7510,1,0,7410000
1,1,1,1,0,115,24,7563,1,0,7280000
1,1,1,0,3,78,22,7347,0,0,7277000
1,1,2,1,2,117,22,7100,0,0,7277000
1,1,2,0,11,220,26,7489,0,0,7277000
1,1,2,1,7,204,26,6630,0,0,7277000
1,1,0,1,2,306,30,6783,0,0,7277000
1,1,2,1,19,238,26,7916,0,0,7277000
1,1,2,0,59,236,26,8226,1,0,7277000
1,1,0,1,51,280,24,8688,1,0,7277000
1,1,2,0,3,188,25,7400,0,0,7277000
1,1,2,1,5,226,30,6903,1,0,7277000
1,1,1,1,32,163,22,7756,0,0,7277000
1,1,2,1,145,579,36,7000,0,0,7277000
1,1,2,0,1,218,25,7255,0,0,7277000
1,1,1,1,40,187,23,7897,0,0,7277000
1,1,2,1,29,254,30,6400,1,0,7277000
1,1,2,0,16,151,25,7794,1,0,7277000
1,1,0,1,27,339,32,7585,0,0,7152000
1,1,2,1,37,299,27,8093,1,0,7123000
1,1,0,1,46,208,25,7600,0,0,7040000
1,1,2,1,59,383,31,7291,0,0,7040000
0,0,2,1,54,474,32,7012,1,0,7001000
1,1,2,1,53,299,27,7030,0,0,6981000
1,1,2,1,43,524,34,7172,1,0,6981000
1,1,1,1,48,417,34,7407,0,0,6981000
1,1,2,1,62,335,31,6550,1,0,6981000
1,1,1,1,42,295,27,7740,0,0,6981000
0,0,1,0,109,418,35,6504,1,0,6949000
1,1,1,0,25,157,24,8468,0,0,6864000
1,1,0,1,49,261,27,7214,0,0,6811000
1,1,0,0,39,195,26,7597,0,0,6671000
1,1,2,1,1,213,25,7278,0,0,6671000
1,1,2,1,26,312,28,7715,0,0,6671000
1,1,2,1,17,154,24,7739,0,0,6671000
1,1,2,1,15,123,22,7565,1,0,6671000
1,1,0,0,34,214,27,7732,0,0,6671000
1,1,2,1,48,412,31,7460,1,0,6671000
1,1,1,1,67,321,28,6995,0,0,6671000
1,1,2,1,22,386,31,7630,1,0,6671000
1,1,2,1,106,579,35,6947,1,0,6500000
1,1,1,1,81,386,31,7000,0,0,6482000
1,1,1,1,115,416,30,7673,1,0,6482000
1,1,1,1,18,172,25,7159,0,0,6482000
1,1,0,1,10,329,30,7237,1,0,6481000
1,1,1,1,82,335,29,7615,0,0,6480000
1,1,2,1,7,195,29,6850,0,0,6480000
1,1,2,1,26,230,27,7355,0,0,6480000
1,1,2,1,19,275,29,6955,0,0,6480000
1,1,2,1,9,201,27,7365,0,0,6480000
1,1,2,1,27,256,27,7391,0,0,6475000
1,1,2,1,25,259,30,7400,0,0,6411000
0,0,0,0,29,440,30,7428,0,0,6408000
1,1,0,1,35,251,28,6850,0,0,6368000
1,1,2,1,45,255,27,7540,0,0,6256000
1,1,2,1,130,478,34,7340,1,0,6240000
1,1,2,1,0,29,17,7955,0,0,6232000
1,1,2,1,113,506,38,7835,0,0,6142000
1,1,2,0,10,291,31,7407,0,0,6064000
1,1,2,0,0,257,30,7350,1,0,6064000
1,1,2,1,0,55,20,6894,0,0,6064000
1,1,2,1,3,158,23,7460,0,0,6064000
1,1,0,0,49,148,29,6950,0,0,6064000
0,0,1,1,53,284,30,7133,1,0,6064000
1,1,1,0,78,282,30,7001,0,0,6064000
1,1,2,0,49,315,29,6744,0,0,6064000
1,1,0,0,56,366,28,7790,0,0,6064000
1,1,2,0,11,347,28,7565,0,0,6064000
1,1,1,0,69,198,25,7540,1,0,6064000
1,1,2,1,10,156,24,7736,0,0,6064000
1,1,2,0,18,240,30,7250,0,0,6064000
1,1,2,0,42,396,32,8023,1,0,6064000
1,1,2,0,37,281,27,6350,1,0,6064000
1,1,2,1,2,382,30,7259,0,0,6064000
1,1,2,1,44,201,27,6997,0,0,6064000
0,1,2,1,28,370,32,7000,0,0,6064000
1,1,1,1,0,28,19,6262,0,0,6064000
1,1,2,0,0,171,25,7812,0,0,6064000
1,1,2,1,1,229,34,7211,1,0,6064000
1,1,0,0,28,184,27,7546,0,0,6064000
1,1,2,0,1,167,26,6850,1,0,6064000
1,1,2,1,11,285,28,7460,1,0,6064000
1,1,0,0,48,282,29,7490,0,0,6064000
0,1,0,0,80,245,32,6500,0,0,6064000
1,1,2,0,0,153,25,7296,0,0,6064000
1,1,2,1,9,330,32,7150,1,0,6064000
1,1,1,0,54,219,26,7800,1,0,6064000
1,1,2,1,0,95,22,7361,0,0,6064000
1,1,2,0,0,72,21,7000,0,0,6064000
1,1,2,1,2,403,34,6700,1,0,6000000
1,1,2,1,23,159,24,7381,0,0,5983000
1,1,2,1,64,296,29,7400,0,0,5983000
1,1,0,0,54,221,28,7145,0,0,5983000
1,1,2,1,0,291,27,7598,0,0,5983000
1,1,2,1,5,44,20,7695,0,0,5983000
1,1,1,1,9,291,30,7585,0,0,5983000
0,0,2,1,0,223,27,6950,0,0,5960000
1,1,2,1,10,110,23,7775,1,0,5936000
1,1,2,1,0,41,21,7798,0,0,5936000
1,1,2,1,11,142,24,7613,0,0,5930000
0,0,2,1,39,314,29,6768,1,0,5877000
1,1,2,1,54,351,29,7726,0,0,5798000
1,1,2,0,11,242,25,7150,1,0,5770000
1,1,2,0,54,239,29,7938,1,0,5770000
1,1,2,1,30,147,29,6964,1,0,5761000
1,1,1,1,27,179,26,6715,1,0,5761000
1,1,2,0,11,131,26,7553,0,0,5761000
1,1,2,1,15,260,28,7250,1,0,5750000
1,1,0,0,48,237,27,7708,0,0,5686000
0,0,2,1,0,267,27,6820,0,0,5622000
1,1,2,1,3,144,26,7591,0,0,5570000
1,1,2,1,28,359,30,7700,0,0,5560000
1,1,0,1,60,315,28,7968,0,0,5560000
1,1,2,1,25,337,29,7639,1,0,5560000
1,1,2,1,13,276,28,7443,0,0,5560000
1,1,2,1,24,228,30,7117,1,0,5560000
1,1,2,1,49,324,32,6950,1,0,5560000
1,1,0,0,43,233,25,7274,0,0,5560000
1,1,2,1,6,398,30,7167,1,0,5550000
1,1,0,1,47,345,28,7551,0,0,5550000
0,1,2,1,2,303,36,6401,0,0,5488000
1,1,1,1,23,103,20,8243,1,0,5485000
1,1,2,1,9,142,23,7934,0,0,5485000
1,1,1,1,22,203,27,7140,0,0,5485000
1,1,2,1,12,360,33,5550,1,0,5485000
1,1,1,1,4,128,21,7102,0,0,5485000
1,1,0,0,24,231,26,7177,0,0,5458000
1,1,2,0,9,207,25,7497,1,0,5458000
0,0,2,1,32,255,26,7050,0,0,5458000
1,1,2,0,8,315,31,7650,0,0,5458000
1,1,1,0,45,210,26,8257,1,0,5458000
1,1,2,1,0,341,30,7500,0,0,5458000
1,1,2,1,0,155,23,7824,0,0,5458000
1,1,2,1,0,95,22,7497,0,0,5458000
1,1,2,0,70,484,35,6785,0,0,5458000
1,1,2,0,0,78,23,7350,0,0,5458000
1,1,2,1,16,400,32,6977,1,0,5385000
1,1,0,0,4,32,18,6356,0,0,5385000
1,1,2,1,13,184,30,6250,0,0,5385000
1,1,2,0,42,315,32,7256,0,0,5373000
1,1,2,1,0,251,28,7566,0,0,5345000
0,1,0,0,50,263,29,6770,0,0,5298000
1,1,0,1,53,362,31,7037,0,0,5288000
0,1,2,1,0,248,27,6511,0,0,5269000
0,0,0,1,96,545,34,7449,1,0,5250000
0,0,0,1,129,614,37,7440,0,0,5250000
1,1,2,1,0,294,30,6600,1,0,5200000
1,1,2,1,32,245,28,7625,0,0,5190000
1,1,2,1,6,181,23,7501,1,0,5190000
1,1,2,1,0,166,24,6793,0,0,5186000
1,1,2,1,0,198,25,6760,0,0,5155000
1,1,1,1,9,430,31,7041,1,0,5155000
1,1,2,1,25,341,29,7305,1,0,5155000
1,1,2,1,12,120,24,7271,1,0,5155000
1,1,2,0,1,383,31,7686,0,0,5155000
1,1,1,0,28,171,24,7223,0,0,5130000
1,1,1,1,60,190,24,7795,1,0,5130000
